code,company_name,chain_count,tag_count,mapping_count,chains,tags,best_tier,avg_growth_score,avg_profit_score,avg_moat_score,avg_total_score,max_total_score,price,today_pct,chg5,chg20,chg60,amount_yi,time,latest_trade_date,avg_business_sales_pct,avg_business_gross_margin
002151.SZ,北斗星通,1,1,1,未来空间/商业航天,北斗芯片,第一梯队,9.0,8.3,19.0,85.3,85.3,31.84,1.6,-1.2,-8.84,-14.51,2.74,10:56:12,20260702,94.36,37.86
688107.SH,安路科技,1,1,1,半导体设备/材料/EDA/IP,FPGA/IP,第一梯队,4.2,8.0,22.0,85.2,85.2,41.19,-0.63,-6.37,-4.58,52.22,2.06,10:56:15,20260702,90.9,40.6
300007.SZ,汉威科技,1,1,1,脑机接口,柔性传感/脑机材料线索,第一梯队,7.1,8.8,20.0,84.9,84.9,41.33,4.47,9.58,-4.12,-5.43,7.44,10:56:12,20260702,45.8,38.53
688295.SH,中复神鹰,1,1,1,未来材料,碳纤维,第一梯队,15.0,5.7,18.0,84.7,84.7,54.61,3.14,-5.36,3.2,1.83,3.56,10:56:13,20260702,98.86,16.73
603662.SH,柯力传感,1,1,1,具身智能,力传感器,第一梯队,2.9,9.5,20.0,84.3,84.3,77.17,4.54,9.9,18.74,36.1,14.07,10:56:13,20260702,39.77,43.29
002520.SZ,日发精机,1,1,1,工业母机,数控机床,第一梯队,1.0,8.9,22.0,83.9,83.9,7.72,9.97,-4.75,23.37,26.94,4.23,10:56:12,20260702,67.17,3.21
688686.SH,奥普特,1,1,1,智能制造,机器视觉,第一梯队,5.5,10.1,16.0,83.5,83.5,170.1,3.09,6.63,16.95,79.82,2.91,10:56:12,20260702,75.66,65.54
688070.SH,纵横股份,1,1,1,低空经济,无人机,第一梯队,11.2,8.0,17.0,83.2,83.2,37.64,2.37,-3.39,-9.68,-18.67,0.23,10:56:09,20260702,69.71,51.83
300161.SZ,华中数控,1,1,1,工业母机,数控系统,第一梯队,3.2,8.0,22.0,82.2,82.2,31.38,1.88,4.41,-3.57,12.78,1.25,10:56:12,20260702,57.63,42.76
301269.SZ,华大九天,1,1,1,半导体设备/材料/EDA/IP,EDA,第一梯队,0.0,8.0,22.0,82.0,82.0,105.77,-2.16,-1.82,2.14,33.21,10.33,10:56:12,20260702,81.1,
688037.SH,芯源微,1,1,1,半导体设备/材料/EDA/IP,涂胶显影/清洗,第一梯队,0.0,8.1,22.0,81.1,81.1,357.42,-0.72,8.11,40.11,116.27,18.25,10:56:15,20260702,96.42,34.2
688697.SH,纽威数控,1,1,1,工业母机,数控机床,第一梯队,4.2,8.8,22.0,81.0,81.0,15.73,1.88,16.35,-25.59,8.12,2.74,10:56:13,20260702,42.37,19.87
002708.SZ,光洋股份,1,1,1,具身智能,机器人轴承/关节零部件,第一梯队,7.9,5.6,20.0,80.5,80.5,13.5,4.09,-7.36,-7.88,11.71,2.55,10:56:12,20260702,57.5,24.02
300699.SZ,光威复材,1,1,1,未来材料,碳纤维,第一梯队,0.4,10.1,18.0,80.5,80.5,30.01,5.67,2.53,-3.73,-16.35,7.09,10:56:12,20260702,50.95,52.67
688027.SH,国盾量子,1,1,1,量子科技,量子通信/QKD,第一梯队,7.0,8.0,21.0,80.0,80.0,453.29,0.85,-13.85,-22.97,-14.09,4.9,10:56:12,20260702,38.13,38.58
000100.SZ,TCL科技,1,1,1,未来显示,显示面板,第一梯队,8.8,2.6,16.0,79.4,79.4,5.68,-4.05,10.86,24.89,40.95,59.44,10:56:12,20260702,65.53,20.1
688418.SH,震有科技,1,1,1,第六代移动通信,卫星通信/核心网,第一梯队,0.0,8.0,19.0,79.0,79.0,50.09,0.38,12.54,8.6,25.79,1.69,10:56:10,20260702,47.04,31.32
300124.SZ,汇川技术,1,1,1,智能制造,自动化/伺服,第一梯队,4.3,10.1,16.0,78.4,78.4,71.3,4.24,2.33,-9.83,2.29,34.93,10:56:12,20260702,25.37,40.27
002025.SZ,航天电器,1,1,1,未来空间/商业航天,航天连接器,第一梯队,0.0,8.1,19.0,78.1,78.1,84.08,1.18,13.42,27.38,37.08,16.0,10:56:12,20260702,68.46,29.07
000725.SZ,京东方A,1,1,1,未来显示,显示面板,第二梯队,4.5,5.2,16.0,77.7,77.7,8.63,-5.16,21.01,62.79,130.38,214.5,10:56:12,20260702,81.34,12.92
688558.SH,国盛智科,1,1,1,工业母机,高端机床,第二梯队,2.9,8.7,22.0,77.6,77.6,36.47,3.11,12.29,6.41,25.07,1.01,10:56:10,20260702,54.21,28.06
000977.SZ,浪潮信息,1,1,1,AI算力,AI服务器,第二梯队,6.0,1.4,20.0,77.5,77.5,68.4,7.23,-6.97,-0.67,12.6,48.44,10:56:12,20260702,93.82,4.52
300753.SZ,爱朋医疗,1,1,1,脑机接口,神经调控/麻醉镇痛,第二梯队,0.0,8.0,20.0,77.0,77.0,20.05,-0.45,0.55,-8.87,-27.5,0.71,10:56:12,20260702,60.11,68.3
300760.SZ,迈瑞医疗,1,1,1,未来健康,医疗器械,第二梯队,0.0,12.0,17.0,77.0,77.0,138.71,-0.35,0.75,-3.73,-14.29,9.42,10:56:12,20260702,36.78,58.33
688297.SH,中无人机,1,1,1,低空经济,无人机整机,第二梯队,12.0,3.7,17.0,76.8,76.8,42.73,2.74,-2.74,-9.9,-15.11,1.7,10:56:13,20260702,100.0,11.23
688331.SH,荣昌生物,1,1,1,未来健康,ADC创新药,第二梯队,14.5,12.0,15.0,76.7,76.7,138.6,-1.32,17.54,32.74,-6.32,10.93,10:56:15,20260702,70.97,83.41
300471.SZ,厚普股份,1,1,1,氢能,加氢站,第二梯队,2.8,6.6,16.0,76.4,76.4,9.02,-2.38,5.36,-5.13,-27.07,0.49,10:56:12,20260702,73.48,35.43
300496.SZ,中科创达,1,1,1,工业软件,操作系统/边缘,第二梯队,3.4,9.0,19.0,76.4,76.4,62.03,1.52,-1.32,-3.31,6.09,5.0,10:56:12,20260702,33.3,15.18
688235.SH,百济神州,1,1,1,未来健康,创新药,第二梯队,11.4,12.0,17.0,76.4,76.4,258.97,2.13,4.47,14.01,1.73,12.35,10:56:13,20260702,73.43,
000063.SZ,中兴通讯,1,1,1,第六代移动通信,通信设备,第二梯队,0.0,8.8,19.0,75.8,75.8,35.6,0.79,-8.12,-3.07,10.2,17.46,10:56:12,20260702,46.94,48.09
000837.SZ,秦川机床,1,1,1,工业母机,机床/丝杠,第二梯队,0.0,4.7,22.0,75.7,75.7,12.18,2.18,7.78,4.29,14.51,3.84,10:56:12,20260702,50.48,19.98
002085.SZ,万丰奥威,1,1,1,低空经济,eVTOL/通航,第二梯队,3.2,7.2,17.0,75.4,75.4,11.2,2.19,-10.6,-5.52,-20.52,2.52,10:56:12,20260702,82.82,16.43
300829.SZ,金丹科技,1,1,1,生物制造,PLA/乳酸,第二梯队,4.4,6.0,17.0,75.4,75.4,14.15,1.0,0.21,-19.06,-28.19,0.21,10:56:12,20260702,61.48,17.25
688206.SH,概伦电子,1,1,1,工业软件,EDA,第二梯队,1.4,8.0,19.0,75.4,75.4,41.9,-2.65,9.99,17.05,42.28,2.74,10:56:13,20260702,39.49,
300035.SZ,中科电气,1,1,1,未来能源,负极材料,第二梯队,6.6,4.2,16.0,74.7,74.7,14.35,1.27,-6.35,-15.45,-32.62,1.14,10:56:12,20260702,91.84,15.57
688271.SH,联影医疗,1,1,1,未来健康,高端医疗影像,第二梯队,3.0,9.8,17.0,74.2,74.2,105.02,1.1,2.34,-9.13,-9.44,4.78,10:56:14,20260702,82.53,46.56
300296.SZ,利亚德,1,1,1,未来显示,MicroLED,第二梯队,0.0,8.1,16.0,74.1,74.1,5.58,3.33,-5.92,-18.67,-25.52,3.74,10:56:12,20260702,85.14,30.3
300034.SZ,钢研高纳,1,1,1,未来材料,高温合金,第二梯队,0.0,8.4,18.0,73.4,73.4,17.79,5.27,-2.87,-6.11,-5.43,2.53,10:56:12,20260702,67.09,29.83
600416.SH,湘电股份,1,1,1,核聚变能,电磁/特种装备,第二梯队,0.0,4.3,22.0,73.3,73.3,9.94,1.74,-4.31,-11.18,-21.65,1.36,10:56:14,20260702,59.6,7.97
300101.SZ,振芯科技,1,1,1,未来空间/商业航天,北斗/卫星,第二梯队,0.0,8.0,19.0,73.0,73.0,16.28,-1.51,6.71,-1.9,-16.68,1.21,10:56:12,20260702,36.55,54.03
000050.SZ,深天马A,1,1,1,未来显示,中小尺寸显示,第二梯队,0.0,4.4,16.0,72.4,72.4,9.19,-5.36,-6.45,21.38,23.07,4.8,10:56:12,20260702,98.91,16.18
688083.SH,中望软件,1,1,1,工业软件,CAD,第二梯队,0.0,8.0,19.0,72.0,72.0,63.06,-0.91,9.08,15.81,32.61,1.97,10:56:13,20260702,92.47,98.96
300003.SZ,乐普医疗,1,1,1,脑机接口,神经介入/医疗器械,第二梯队,1.7,9.5,20.0,71.2,71.2,12.41,-0.72,4.08,0.89,-24.97,2.96,10:56:12,20260702,50.2,69.89
300421.SZ,力星股份,1,1,1,具身智能,滚动体/陶瓷球,第二梯队,0.0,4.1,20.0,71.1,71.1,20.57,5.49,4.56,-10.59,-16.24,2.65,10:56:12,20260702,85.09,15.74
688066.SH,航天宏图,1,1,1,未来空间/商业航天,卫星应用,第二梯队,0.0,5.0,19.0,71.0,71.0,11.66,-1.44,17.95,-17.1,-38.03,0.28,10:56:12,20260702,57.75,15.29
000777.SZ,中核科技,1,1,1,核聚变能,核电阀门,第二梯队,0.0,2.8,22.0,70.8,70.8,19.07,1.22,10.82,8.28,-13.62,2.28,10:56:12,20260702,57.31,25.55
300900.SZ,广联航空,1,1,1,低空经济,航空结构件,第二梯队,0.0,6.7,17.0,70.7,70.7,41.3,8.17,14.97,8.77,-5.02,9.91,10:56:12,20260702,58.44,19.13
601611.SH,中国核建,1,1,1,核聚变能,核工程建设,第二梯队,0.0,0.5,22.0,70.5,70.5,10.82,1.12,2.59,-7.36,-24.33,1.69,10:56:14,20260702,88.81,11.38
688777.SH,中控技术,1,1,1,智能制造,工业自动化,第二梯队,0.0,8.5,16.0,70.5,70.5,106.14,3.05,-13.95,11.53,59.0,13.91,10:56:12,20260702,26.22,32.12
600875.SH,东方电气,1,1,1,氢能,电解槽/氢能装备,第二梯队,3.3,4.7,16.0,70.0,70.0,29.0,3.91,-7.37,-16.46,-25.19,10.17,10:56:13,20260702,33.81,20.69
002733.SZ,雄韬股份,1,1,1,氢能,燃料电池,第二梯队,2.7,5.1,16.0,68.8,68.8,26.93,2.05,-23.97,-11.14,7.67,2.59,10:56:12,20260702,57.5,14.41
600118.SH,中国卫星,1,1,1,未来空间/商业航天,卫星制造,第二梯队,0.0,3.5,19.0,68.5,68.5,85.16,4.49,15.28,-0.1,4.1,37.82,10:56:14,20260702,99.08,8.23
002594.SZ,比亚迪,1,1,1,未来能源,电池/储能,第二梯队,0.3,3.3,16.0,67.7,67.7,86.32,3.29,1.67,-11.86,-17.79,36.45,10:56:12,20260702,80.68,20.49
300238.SZ,冠昊生物,1,1,1,脑机接口,再生医学/神经修复,第二梯队,1.9,9.8,20.0,66.7,66.7,11.99,-0.42,4.15,4.24,-21.92,0.54,10:56:06,20260702,25.24,54.54
688111.SH,金山办公,1,1,1,工业软件,基础软件,观察池,14.4,12.0,17.0,65.8,65.8,211.23,-1.94,1.67,-13.53,-6.85,8.29,10:56:13,20260702,61.15,80.96
688538.SH,和辉光电,1,1,1,未来显示,OLED,第二梯队,0.0,0.0,16.0,65.6,65.6,2.47,-3.52,6.67,6.67,12.28,2.84,10:56:12,20260702,97.88,-19.0
688599.SH,天合光能,1,1,1,未来能源,钙钛矿/光伏,第二梯队,1.7,0.0,16.0,64.7,64.7,13.92,-2.73,1.71,-1.17,-10.51,2.96,10:56:12,20260702,67.4,-1.42
688339.SH,亿华通,1,1,1,氢能,燃料电池,第二梯队,5.0,0.0,16.0,64.0,64.0,19.11,0.16,0.37,-11.67,-22.47,0.34,10:56:11,20260702,47.17,-19.82
300015.SZ,爱尔眼科,1,1,1,未来健康,医疗服务,观察池,1.7,12.0,17.0,63.9,63.9,8.42,-0.47,2.17,-3.86,-12.24,3.95,10:56:12,20260702,37.5,55.01
600860.SH,京城股份,1,1,1,氢能,储氢瓶,观察池,0.0,3.4,16.0,62.8,62.8,8.48,0.12,2.92,-7.83,-24.31,0.23,10:56:15,20260702,76.37,10.07
300224.SZ,正海磁材,1,1,1,未来材料,稀土永磁,观察池,1.8,4.1,18.0,61.9,61.9,14.13,2.32,-1.22,12.64,-1.78,3.4,10:56:12,20260702,99.94,13.03
002130.SZ,沃尔核材,1,1,1,核聚变能,核级材料/超导线材线索,观察池,5.7,10.6,20.0,61.5,61.5,18.08,2.67,-8.09,-18.62,-24.03,3.25,10:56:12,20260702,33.74,41.94
688313.SH,仕佳光子,1,1,1,第六代移动通信,光芯片,观察池,10.2,12.0,19.0,60.2,60.2,164.62,2.31,-19.52,-4.71,73.39,13.73,10:56:13,20260702,40.16,
300381.SZ,溢多利,1,1,1,生物制造,酶制剂,观察池,1.7,8.6,17.0,58.4,58.4,5.79,-0.69,1.39,-8.04,-10.99,0.26,10:56:09,20260702,82.28,44.02
600873.SH,梅花生物,1,1,1,生物制造,发酵工程,观察池,0.0,3.1,17.0,57.7,57.7,7.81,-1.39,5.04,-14.01,-30.04,0.81,10:56:12,20260702,58.66,20.83
688639.SH,华恒生物,1,1,1,生物制造,合成生物/氨基酸,观察池,0.0,6.8,17.0,51.8,51.8,16.64,-1.83,-0.99,-22.14,-40.84,0.6,10:56:12,20260702,71.95,25.98
300627.SZ,华测导航,1,1,1,低空经济,高精度定位,观察池,3.5,10.9,15.0,50.2,50.2,28.28,1.65,-3.5,-4.82,-15.52,1.33,10:56:12,20260702,54.46,62.4
600143.SH,金发科技,1,1,1,生物制造,生物基材料,暂不优先,5.6,1.9,17.0,48.5,48.5,16.55,7.05,-4.33,-6.13,-4.86,12.23,10:56:14,20260702,54.71,24.43
688188.SH,柏楚电子,1,1,1,智能制造,激光切割控制,暂不优先,7.1,12.0,10.0,43.1,43.1,108.78,0.86,-27.74,-29.81,-18.02,2.1,10:56:14,20260702,58.89,81.55
600105.SH,永鼎股份,1,1,1,量子科技,量子通信/光通信线索,暂不优先,7.0,10.5,15.0,40.5,40.5,57.28,1.9,-22.96,8.26,85.57,29.65,10:56:14,20260702,36.36,12.43
300285.SZ,国瓷材料,1,1,1,未来材料,先进陶瓷,暂不优先,5.6,10.0,12.0,38.6,38.6,95.58,3.01,-5.7,53.45,207.86,49.63,10:56:12,20260702,22.51,31.67
300378.SZ,鼎捷软件,1,1,1,工业软件,ERP/MES,暂不优先,0.7,8.0,13.0,33.7,33.7,36.6,2.52,-3.95,-5.98,-7.15,2.37,10:56:12,20260702,47.69,51.24
688228.SH,开普云,1,1,1,工业软件,政企软件,暂不优先,0.0,8.0,13.0,32.0,32.0,77.91,-1.52,-2.13,-11.11,-22.21,0.61,10:56:10,20260702,43.94,26.15
688387.SH,信科移动,1,1,1,未来显示,显示非核心观察,暂不优先,0.0,5.5,10.0,29.5,29.5,20.85,9.28,5.24,17.06,32.04,12.69,10:56:12,20260702,36.05,9.82
688122.SH,西部超导,1,1,1,未来材料,高温合金/超导,暂不优先,0.0,7.0,12.0,26.0,26.0,58.3,1.75,3.17,-10.33,-17.67,4.9,10:56:13,20260702,10.94,23.64
