code,name,node_id,node_name,product,candidate_reason,tier,total_score,moat_score,evidence_score,stage_score,growth_score,profit_score,support_score,market_score,evidence_hits,stage_hits,negative_hits,latest_trade_date,close,chg20,pe_ttm,pb,revenue_yoy,netprofit_yoy,gross_margin,roe,forecast,business_item,business_sales_pct,business_gross_margin,latest_evidence
300007.SZ,汉威科技,EI-L5-FORCE,六维力/力矩/触觉传感器,传感器、气体/柔性传感,传感器候选,第一梯队,95.4,22,20.0,20,9.6,10.8,7,6,68,68,2,20260702,39.56,-4.12,77.7443,4.3843,-15.6089,46.0823,34.0615,0.8408,预增 63~128%,传感器,16.218259735620396,31.751021033818915,汉威科技的董秘您好，我从去年开始持股，目前，贵公司股价今年累计跌幅近30%，请问公司常规经营是否正常，其次，去年脑机接口是否有突破？机器人电子皮肤是否有量产订单落地？对于股价的近半年的下跌，公司有没有维护股价，维护公司市值的举措？ | 尊敬的投资者，您好！目前公司经营情况一切正常，公司将持续做好经营管理工作，努力提升公司的业绩和内在价值。脑机接口方面，公司近年来对无创柔性脑机接口材料的研发及用于复杂脑信息协同监测、可植入柔性神经电极材料及阵列化柔性电极等关键技术有所突破，但前述技术储备尚处于早期阶段，商业落地尚具有
688322.SH,奥比中光,EI-L5-VISION,3D视觉/深度相机/IMU,3D视觉、深度相机,视觉传感,第一梯队,94.0,17,20.0,20,9.0,11.0,10,7,102,52,0,20260702,130.01,15.81,397.2483,17.8553,6.1917,27.4791,48.5843,1.0382,扭亏 296~296%,3D视觉传感器,30.926035536818702,54.425796540469186,董秘您好，近期世界模型发展加速，请问公司在3D视觉领域的布局及生态卡位，将如何赋能这一进程？ | 您好！世界模型的核心在于让AI智能体具备对物理世界动态规律的持续理解与预测能力，这要求感知层能够输出高精度、高帧率、语义丰富的三维环境信息，而非局限于传统的二维图像数据。相较于2D视觉，3D视觉感知可直接捕获空间几何关系、物体位姿及表面形态，为世界模型提供符合物理规律的真实空间信息，是构建物理AI认知底座的关键环节。公司长期深耕3D视觉感知领域，依托“芯片+算法+光机”全栈自研能力，构建了覆盖结构光、iToF、dToF
688160.SH,步科股份,EI-L5-DRIVE,驱动器/控制器/编码器,控制系统、机器人关节电机,控制器/电机,第一梯队,91.0,18,8.4,20,15.6,11.0,10,8,8,3,0,20260702,134.0,25.88,163.6873,9.3052,43.2192,19.6973,32.8639,1.0204,预增 39~64%,控制系统,28.187170589851736,41.33210631759995,据权威媒体6月5日报道。中国目前已经量产可变磁通电机。并广泛适用于新能源汽车、机器人、低空飞行器。可变磁通电机属于重大技术突破性产品。请问贵公司是否掌握了可变磁通电机相关技术？或者能否突破专利壁垒跟进量产这一最先进产品？ | 您好，感谢您对步科股份的关注。公司已成立技术研究院，针对机器人关节对电机轻量化、大力矩的核心需求，开展了轴向磁通电机等新技术的预研和长期跟踪，并已推出样品，进入客户试用阶段，研发过程中已识别相关技术的未来应用前景及当前性能短板，整体上正持续加强技术布局与迭代，后续将根据客户需求和供应链成熟度适
300124.SZ,汇川技术,EI-L5-DRIVE,驱动器/控制器/编码器,伺服、控制器、工业机器人控制,控制龙头,第一梯队,89.8,18,20.0,20,5.3,12.5,10,4,51,35,2,20260702,68.4,-9.83,39.0666,5.0904,12.9798,-23.3874,29.0771,2.8255,略增 16~26%,通用自动化行业,25.373199986254647,40.27303095308224,请问公司在机器人行业布局了哪些方向？ | 您好！基于对人形机器人产业链的深入洞察、分析与预研工作，依托公司在运动控制、伺服驱动、直线导轨和丝杠等关键领域的技术积累，公司有条不紊地进行人形机器人领域的研发和探索工作。目前，公司已经储备了部分人形机器人相关的核心零部件产品，包括七自由度仿生臂、行星旋转执行器、直线执行器、无框力矩电机、低压直流驱动器和行星滚柱丝杠等。此外，公司将基于制造业场景，从客户实际场景需求出发，为客户提供场景化的产品和解决方案。在人形机器人领域，公司将持续依托工业场景的优势以及严格的工业品开发流程
002708.SZ,光洋股份,EI-L5-BEARING,机器人轴承/交叉滚子轴承,轴承、齿轮、丝杠、PCB/FPC,关节模组齿轮量产定点交付,第一梯队,89.5,19,20.0,20,10.6,6.9,10,3,213,45,15,20260702,12.97,-7.88,67.7593,4.1215,15.1209,25.9988,15.2346,1.8307,预增 67~116%,轴承产品,57.50395515106811,24.016040124408484,北京市金杜律师事务所上海分所关于常州光洋轴承股份有限公司2026年第一次临时股东会之法律意见书
688320.SH,禾川科技,EI-L5-DRIVE,驱动器/控制器/编码器,伺服系统、控制器,控制器,第一梯队,89.4,18,20.0,20,3.7,7.8,10,10,12,12,0,20260702,41.31,9.9,,5.141,18.7042,79.1024,23.3512,-0.4639,续亏 15~33%,伺服系统,73.18435346378043,24.903727256193893,公司成立禾川人形机器人公司已经有一年多的时间，为何始终未能见到该公司有突破性的进展？为何始终无法取得主流人形机器人公司的批量订单？请问董秘，目前公司人形机器人的开发进展如何？给知名的主流机器人公司送样的结果如何？ | 投资者您好！感谢您对公司的关注。公司自布局人形机器人领域以来，推出了多款核心零部件产品，其中包括旋转关节模组、线性执行器、空心杯电机、无框力矩电机、灵巧手等，目前已有订单，但规模不大；公司积极推动与市场主流人形机器人公司的合作。人形机器人作为未来战略新兴产业，尚未迎来行业奇点，但公司始终保持对人形机器
300660.SZ,江苏雷利,EI-L5-FRAMELESS,无框力矩电机/空心杯电机,空心杯电机、步进电机、微电机,电机,第一梯队,89.2,21,20.0,20,5.0,10.1,10,3,46,43,1,20260702,29.11,-9.0,62.4242,4.726,15.0124,-29.7909,24.8631,1.853,略增 20~35%,步进电机,28.606313692838604,29.93694238275465,网上说贵公司子公司鼎智科技间接参股灵心巧手7.52%，并派驻董事，提供空心杯电机等。请问此消息属实吗？如果属实，贵公司也算是间接参股灵心巧手？ | 您好，据了解鼎智科技未参股灵心巧手，也未派驻董事，关于鼎智科技的相关情况请您通过北交所的相关投资者关系通道进行咨询，感谢关注！
688698.SH,伟创电气,EI-L5-DRIVE,驱动器/控制器/编码器,伺服、控制、机器人驱动,驱动控制,第一梯队,86.8,18,20.0,20,2.7,12.0,10,4,28,28,1,20260702,55.3,-14.32,46.5189,4.9439,20.9837,-14.7402,35.599,2.0368,,伺服系统及运动控制器,29.6238437378122,31.467733432158024,你好，目前机器人业务营业收入占比是多少？是否有Tesla链的订单？ | 尊敬的投资者，您好！具体经营数据，敬请关注公司披露的定期报告。谢谢！
301596.SZ,瑞迪智驱,EI-L4-REDUCER,减速器模组,精密传动、减速机、制动器,传动候选,第一梯队,86.3,20,20.0,20,6.5,10.8,5,4,83,83,3,20260702,53.31,-27.58,56.644,6.4357,14.454,-13.8604,25.4497,2.2914,略增 1~12%,谐波减速机,8.441657052390173,38.91505747521901,请问贵公司今年新开发的机器人客户有哪些？ | 尊敬的投资者，您好！公司持续推进机器人及高端装备领域市场拓展，坚持大客户战略，有序开展客户开发、产品验证和项目导入，相关产品已应用于工业机器人、协作机器人、人形机器人核心部件等领域。此外，公司积极参加AUTOMATE 2026等国际专业展会，持续拓展全球机器人产业链合作机会。相关信息请以公司依法披露的信息为准。未来市场拓展及应用规模受行业发展、客户需求及技术迭代等因素影响，存在一定不确定性，敬请投资者理性投资，注意投资风险。感谢您的关注！
002046.SZ,国机精工,EI-L5-BEARING,机器人轴承/交叉滚子轴承,高端轴承、精密轴承,高端轴承候选,第一梯队,85.9,19,20.0,20,0.0,9.9,10,7,119,43,7,20260702,72.4,27.06,238.4829,8.9001,-8.6964,-110.2629,29.7943,-0.208,首亏 -114~-109%,特种及精密轴承,43.998418565195344,27.073991651676355,董秘你好  现有的航天轴承产量假如市场规模扩大  需求翻一番的情况下    公司需要多长时间能满足需求 | 您好，在新建厂房的情况下，从施工开始到产能投放，一般需要1到2年的时间，感谢您的关注。
000837.SZ,秦川机床,EI-L5-SCREW,滚柱丝杠/滚珠丝杠,机床、滚珠丝杠、机器人减速器,丝杠/机床,第一梯队,85.1,22,20.0,20,0.0,6.1,10,7,90,38,4,20260702,11.92,4.29,245.5164,2.4761,9.6416,-11.7126,16.893,0.4949,预减 -83~-76%,机床类,50.47765016672997,19.976675484342337,请问贵公司当前订单是否具备可持续性，高端高毛利五轴、减速器设备、人形机器人等的研发和销售有没有规划，现金流压力何时能得以缓解，核心部件研发有无进展 | 公司始终聚焦主业发展，全面推进“品质提升年”各项工作，持续加大研发创新投入，关注高端精密机床、关键核心零部件等产品的技术攻关与量产，不断提升产品质量与服务水平，积极拓展市场空间，目前，公司在手订单健康可持续，截至2026年一季度末公司营业收入实现增长；同时，公司持续加强“两金”管控，现金流状况持续优化，2025年经营活动产生的现金流量净额3.17亿元，较上年同期增长
002050.SZ,三花智控,EI-L3-ENERGY,能源与热管理,热管理、机器人机电执行器布局,热管理/执行器,第一梯队,84.7,11,20.0,20,5.5,12.1,12,4,147,93,5,20260702,44.92,-0.35,46.249,5.7933,1.3574,2.6793,27.7967,2.8819,略增 25~50%,制冷空调电器零部件,59.92808212364636,28.768728835607977,美芝芜湖工厂下半年投产，2027年美的自产电子膨胀阀达1800万套，自给率上升到50%左右！ \n预计对公司影响多大，公司制冷配件对美的销量占比如何，公司如何应对？  | 公司深耕热管理零部件领域近四十载，空调电子膨胀阀、四通换向阀、截止阀、电磁阀、微通道换热器、车用电子膨胀阀、新能源汽车热管理集成组件、Omega 泵等多款产品全球市占率领先。公司以深厚的技术壁垒和规模化制造为基石，凭借全球化布局、极致的成本优势、可靠的交付品质，以及稳固的客户生态与卓越的管理团队，收获全球客户广泛认可，具备显著先发优势。公司将持续
003021.SZ,兆威机电,EI-L4-HAND,灵巧手/末端执行器,微型传动系统、灵巧手传动,灵巧手微传动,第一梯队,83.0,19,20.0,20,0.0,11.0,12,1,32,32,11,20260702,91.64,-5.14,101.9381,4.7746,-2.7354,-25.1475,31.2986,0.9503,,微型传动系统,60.09757881921027,28.665067686051387,董秘您好！在人形机器人大厂强化灵巧手自研适配的当下，贵公司是否有计划发挥资本纽带的作用，通过参股人形机器人整机厂，或者引进人形机器人大厂参股贵公司灵巧手项目，从而强化与人形机器人产业链的深度渗透呢？， | 尊敬的投资者，您好！公司密切关注产业链上下游优质标的及行业内的投资机会，综合考虑，谨慎决策，赋能公司发展。未来如有相关投资计划，公司也将严格按照相关法规及时履行信息披露义务。感谢您的关注！
300421.SZ,力星股份,EI-L5-ROLLING,滚动体/钢球/陶瓷球/G5级,钢球、滚子、陶瓷球/G5级滚动体,滚动体漏项补充,第二梯队,78.3,20,20.0,20,0.0,5.3,10,3,139,76,1,20260702,19.5,-10.59,96.9461,4.4364,5.503,-58.8154,14.2336,0.5473,,钢球,85.08743058197743,15.739344591340783,请问5月20日贵公司官方公众号发布信息，双方就欧洲和北美汽车项目深度战略合作、陶瓷球项目的持续推进及全球化业务支撑展开深入交流，在现有业务合作基础上进一步巩固全球供应链协同，加速陶瓷球产品的联合开发与应用落地。为何后来删除消息？作为二级市场投资者，非常关注。谢谢 | 尊敬的投资者您好，感谢您对公司动态的持续关注与监督，公司公众号内容的调整属于内部正常审核调整。再次感谢您的理解与支持！
601689.SH,拓普集团,EI-L5-STRUCTURE,轻量化结构件/机身/总成,机器人执行器、轻量化、汽车零部件,执行器/结构件,第二梯队,74.4,14,20.0,20,2.7,8.7,5,4,50,47,1,20260702,56.75,-9.39,35.6629,4.0109,14.9212,-2.4171,19.2562,2.2668,略减 -13~-3%,机器人执行器,0.04594491630448967,28.24999998914737,董秘你好，我是公司百万级长期重仓股东。公司海外生产基地布局，是否已提前为远期机器人等智能硬件业务的海外落地，做产能、供应链的配套预留？ | 公司全球化产能布局稳步推进，波兰工厂现有产线正常运营，二期正在筹划扩建，进一步承接欧洲本土订单；泰国一期工厂按计划建设推进，将于2026年投产并逐步爬坡放量。海外基地整体遵循先投产、再爬坡、后稳步贡献产能的节奏，各基地建设进度、产能释放规划及具体经营财务数据，请大家详细参阅公司2025年年度报告。
301368.SZ,丰立智能,EI-L5-RV,RV/行星/摆线减速器,精密齿轮、减速器,齿轮减速,第二梯队,73.8,20,20.0,20,0.0,3.8,7,3,41,41,4,20260702,43.81,-2.69,,5.582,9.1706,-91.0739,11.2673,0.0278,首亏 -261~-207%,齿轮,42.71467124945191,23.46086544962355,贵司的东南亚工厂何时投产？？该布局是不是为了规避贸易壁垒供货海外重要客户？ | 尊敬的投资者您好:公司为应对国际贸易形势及满足市场需求，坚持贯彻“拓展东南亚市场、深耕国内市场”“传统电动工具和高端制造领域双核心”战略，助力新质生产力发展，实现公司生产经营的高质量发展。越南工厂主要生产产品包括高精密小模数齿轮、精密机械件以及气动工具等，将与创科实业（2024年电动工具市占率全球第一）等客户在境外市场进一步加深业务合作。目前已通过客户验厂，产品已通过客户验证并实现生产交货。马来工厂主要生产产品包括燃油车行星架相关组件等
002965.SZ,祥鑫科技,EI-L5-STRUCTURE,轻量化结构件/机身/总成,精密冲压、结构件,结构件,第二梯队,73.5,14,20.0,20,0.0,2.5,10,7,68,66,8,20260702,51.18,44.17,261.1094,3.2025,17.1533,-119.8668,7.4666,-0.4014,预减 -53~-44%,新能源汽车冲压模具和金属结构件,58.0458700470748,9.348477304871636,特斯拉机器人即将在7月份量产，请问公司除了灵巧手外，还有哪些机械部件供应给特斯拉 | 尊敬的投资者，您好！公司间接为T客户的汽车业务（如座椅结构件等）及新兴业务领域提供结构件产品。关于具体产品应用于何种终端型号，由于公司与客户签有严格的保密协议，涉及客户的商业机密，出于审慎原则，不便对具体应用细节进行评论，敬请谅解。公司始终致力于紧跟下游顶尖客户的发展步伐，积极布局前沿领域。感谢您的关注！
002527.SZ,新时达,EI-L5-DRIVE,驱动器/控制器/编码器,机器人与运动控制,控制器,第二梯队,72.8,18,20.0,20,7.8,3.0,4,0,152,68,4,20260702,13.12,-10.5,1419.8572,6.9939,10.1294,7.6145,18.1344,-0.6019,扭亏 102~103%,机器人与运动控制类产品,24.032283500285523,11.559175990366981,请问公司的晶圆半导体机器人，能否取代日本的晶圆半导体机器人？ | 您好，公司半导体机器人能够覆盖热处理、清洗、刻蚀、薄膜、黄光、减薄、键合等前/后道半导体工艺制程，实现了设备的国产化替代，目前公司半导体机器人业务占公司业务比重较小，敬请广大投资者注意投资风险，谢谢您！
603667.SH,五洲新春,EI-L5-BEARING,机器人轴承/交叉滚子轴承,轴承、丝杠、机器人轴承,轴承/丝杠,观察池,61.8,19,7.2,15,0.0,7.6,10,3,4,4,1,20260702,70.18,-0.13,318.8141,8.9622,-18.8288,-18.6204,19.7572,1.029,,轴承产品,54.659520330703124,18.730385698862676,作为长期持股股东，对公司进行的减持行为以及定增表示理解并祝愿顺利。想请问一下，公司与新剑最新的合作有什么可以告知股东的吗？是否有产品通过测试并准备量产？与新剑的合作，是否使得公司进入了北美以及国内各大机器人的供应链之中？提供的产品，主要运用在什么场景？祝商祺 ！ | 尊敬的投资者，您好！感谢您对公司的关注，相关信息以公司公告为准！
002896.SZ,中大力德,EI-L4-JOINT,关节模组/执行器,精密减速器、减速电机、智能执行单元,执行器节点修正,暂不优先,41.9,18,1.8,0,0.0,9.1,10,3,1,1,0,20260702,77.84,-1.34,271.3745,12.6968,5.1164,-36.4187,24.407,0.9193,,智能执行单元,37.628730356399565,25.08310975399232,公司生产的供应人形机器人的减速器有没有使用软磁材料 | 尊敬的投资者您好！目前公司减速器所用的材料包括20CrMnTi、40Cr、40CrNiMoA合金钢等。
