ts_code,name,trade_date,q,a,pub_time,code6
688017.SH,绿的谐波,20260224,尊敬的董秘，你好，请问与特斯拉是否有合作？是否有给特斯拉送样验证？,尊敬的投资者您好，相关内容请关注公司后续披露的定期报告。感谢您的关注！,2026-02-24 16:30:07,688017
688017.SH,绿的谐波,20260224,董秘你好公司产品有引用人工智能技术吗？,尊敬的投资者您好，截至目前，公司产品尚未引用人工智能技术，我们始终专注于精密传动装置等核心业务的研发、生产与销售。未来可能会引用人工智能技术应用于智能生产环节，借助其强大的数据分析与处理能力，实现生产流程的智能化管理与优化，进一步提升产品质量与生产效率。感谢您的关注！,2026-02-24 16:30:00,688017
688017.SH,绿的谐波,20260209,公司今年以来关于人形机器人方面的公告相对较少 且不断减持后 更加低调 请问公司 何时能够接受机构投资者调研,尊敬的投资者您好，公司始终高度重视与投资者的沟通交流，搭建了全方位、多渠道的沟通互动平台，常态化通过业绩说明会、投资者交流会、上证E互动平台、公司现场调研等线上线下多元化渠道，与投资者保持良好互动，积极向市场传递公司的价值理念和业务发展动态。感谢您的关注。,2026-02-09 16:30:00,688017
688017.SH,绿的谐波,20260209,管理层好。市场普遍预期 2026 年是人形机器人量产元年。请问公司年产 50 万台精密减速器的新产能目前爬坡情况如何？针对北美头部客户及国内头部集成商的 2026 年意向订单，是否已经开始锁定产能？公司预计明年人形机器人业务的营收占比能否有质的飞跃？,尊敬的投资者您好，公司在稳步提升产能以匹配市场需求的同时，持续优化生产工艺与运营流程，生产效率与资源利用效率显著改善，进一步增强了盈利转化能力，推动公司实现高质量增长。感谢您的关注。,2026-02-09 16:30:00,688017
688017.SH,绿的谐波,20260209,董秘您好，请问贵公司与三花智控合资的墨西哥工厂双方具体股权比例是多少？该合资公司是否已完成设立？,尊敬的投资者您好！公司与三花智控合作的项目请以上市公司公告为准，感谢您的关注！,2026-02-09 16:30:01,688017
688017.SH,绿的谐波,20260209,公司通过在德国等地销售研发平台的运营，进一步加强品牌建设与推广，请问公司近年是否存在向欧盟成员国出口或销售的相关业务？如有，欧盟地区业务收入在公司整体营业收入中的占比大致为多少？此外，公司对欧盟市场的销售主要通过哪种方式实现：是以境内主体直接向欧盟客户出口为主，还是通过在欧盟国家设立的子公司进行销售，或通过第三方贸易商、代理商转销至欧盟市场？,尊敬的投资者您好，公司正积极推进海外市场拓展战略，通过深化与海外合作伙伴的沟通交流，海外客群布局初见成效，为整体增长注入新的动力。公司境外销售产品包括谐波减速器及精密零部件、机电一体化产品等，其中谐波减速器和机电一体化产品采用直销与经销相结合的模式，精密零部件采用直销模式。感谢您的关注。,2026-02-09 16:30:01,688017
688017.SH,绿的谐波,20260209,董秘您好，贵公司在机器人方面业务占主营业务比例大概多少？和特斯拉机器人、宇树、智元机器人有合作吗？未来发展规划？谢谢,尊敬的投资者您好，在具身智能机器人领域，公司紧跟行业从实验室研发向规模化落地的关键转折趋势，积极推进相关产品的研发与商业化进程。目前，部分头部厂商已进入小批量试生产阶段，我们的相关产品凭借过硬的品质获得了下游企业的认可，相关收入实现大幅增长，为公司开辟了新的增长空间。您关注机器人业务占主营业务的比例数据请关注公司披露的定期报告。感谢您的关注！,2026-02-09 16:30:01,688017
688017.SH,绿的谐波,20251127,谐波减速器国际与国内的市场空间与增速如何？ 绿的谐波的机电一体化产品的市场空间与增速如何，机电一体化产品的竞争优势有哪些？绿的谐波具体的产能情况？单台谐波减速器的价值？2023年与2024年谐波减速器与机电一体化产品的产销量？绿的谐波国内谐波减速器市占率多少？在全球谐波减速器市占率 多少？公司是否已和三花智控在三花墨西哥工业园设立合资企业？,尊敬的投资者您好，2025年在机器人行业整体回暖的有利环境下，公司凭借技术积累与战略布局，实现了业务规模与盈利能力的双提升，核心业务多点突破，研发与产能建设同步推进，为全年发展奠定了坚实基础。在具身智能机器人领域，我们紧跟行业从实验室研发向规模化落地的关键转折趋势，积极推进相关产品的研发与商业化进程。目前，部分头部厂商已进入小批量试生产阶段，我们的相关产品凭借过硬的品质获得了下游企业的认可，相关收入实现大幅增长，为公司开辟了新的增长空间。您关注产销量数据请关注公司披露的定期报告。感谢您的关注！,2025-11-27 16:30:01,688017
688017.SH,绿的谐波,20251127,请问10月31日的股东人数多少，谢谢,尊敬的投资者您好，公司会在定期报告中披露对应时点的股东人数信息。如需了解其他时间点的股东信息，请将证券开户营业部或中国证券登记结算公司开具的有效持股证明及本人有效身份证件发送至公司投资者邮箱，公司核实后予以提供，感谢您的关注！,2025-11-27 16:30:01,688017
688017.SH,绿的谐波,20251127,感谢你们不厌其烦的回复我们提出的问题。請問把带有时间和姓名的股票交易软件持仓截图和身份证一并扫描发送至公司邮箱，可以获知 非定期报告相关时点的股东人数吗？盼你们具体，明确答复。顺祝健康，快乐 【比如截至到2025年10月31日贵公司的股东人数是多少,尊敬的投资者您好，公司会在定期报告中披露对应时点的股东人数信息。如需了解其他时间点的股东信息，请将证券开户营业部或中国证券登记结算公司开具的有效持股证明及本人有效身份证件发送至公司投资者邮箱，公司核实后予以提供，感谢您的关注！,2025-11-27 16:30:01,688017
688017.SH,绿的谐波,20251009,请问贵司如何看待近期日企研发量产的球形齿轮？据称该球形齿轮有效打破传统齿轮的运动边界，彻底改变人形机器人齿轮行业竞争格局，据传此类产品会使贵司谐波减速器竞争力丧失，贵司在行业的竞争格局将会发生重大变化，请问贵司如何回应？,尊敬的投资者您好，感谢您对行业技术发展及我司的关注，也感谢您提出的宝贵建议。我司始终密切追踪全球机器人核心传动部件领域的技术演进，致力于通过持续创新为客户提供更具竞争力的传动解决方案。感谢您的关注！,2025-10-09 16:30:07,688017
688017.SH,绿的谐波,20251009,做为贵公司的长期股东，希望公司管理层能够专心做好实业，别跟个投机者一样，一心放在减持套现方面！,尊敬的投资者您好！非常感谢您对公司的长期信任与坦诚建言。公司管理层将持续聚焦主业，以更好的业绩回报股东信任。感谢您的关注！,2025-10-09 16:30:07,688017
688017.SH,绿的谐波,20250820,请问，在全球机器人狂欢时代，公司在手订单情况，如果应对未来减速器供需错配，供应短缺的情况？,尊敬的投资者您好，为满足市场对精密传动装置日益增长的需求，我们有序推进募投项目 “新一代精密传动装置智能制造项目” 的建设工作。该项目重点围绕精密谐波减速器及行星滚柱丝杠进行产能扩张，将进一步提升公司的规模化生产能力，优化产品结构，增强对下游市场的供应保障能力，为公司未来的业务增长提供坚实的产能支撑。感谢您的关注！,2025-08-22 09:18:22,688017
688017.SH,绿的谐波,20250820,请问公司在万向节-谐波耦合传动方向有技术储备或相关方案吗,尊敬的投资者您好，公司未布局万向节相关技术，感谢您的关注！,2025-08-22 09:18:22,688017
688017.SH,绿的谐波,20250820,董秘您好，在公司官网的产品序列没有看到丝杆类产品，请问公司是否有丝杠产品或技术布局？,尊敬的投资者您好！非常感谢您的建议。我司的行星滚柱丝杠产品已步入小规模量产阶段。在机器人行业领域，公司正与客户紧密协同，开展研发迭代工作，致力于打造更契合行业需求的优质产品 。与此同时，公司积极扩充研发团队，大力推进行星滚柱丝杠在非机器人行业应用场景的研发探索，不断拓展产品的应用边界，挖掘新的市场机遇。后续，公司将尽快完成行星滚柱丝杠相关产品介绍的更新工作，以便您及其他投资者更全面、深入地了解产品的特性、优势及应用情况。感谢您的关注！,2025-08-22 09:18:22,688017
688017.SH,绿的谐波,20250711,请问底特律AUTOMATE展会上公司新品有哪些，能否介绍下相关产品特点及落地应用等,尊敬的投资者您好，我司在底特律AUTOMATE展会上主要展示的新品为灵巧手适用微型谐波减速器以及线性执行器适用的反向行星滚柱丝杠等产品。微型谐波减速器采用小型化、轻量化设计，外径最小可达6mm，非常适用于对体积、重量有极致要求的医疗、半导体设备，智能机器人手指关节等场景。行星滚柱丝杠是采用丝杠与滚柱螺母结构，凭借线接触实现强大承载能力与出色刚性，抗冲击性能佳，能保持高精度传动与良好速度性能，非循环设计提升转速，其接触特性延长使用寿命，且相同载荷下体积更小。基于这些特性，行星滚柱丝杠广泛应用于机床加工、自动化生产线、航空航天、医疗器械、工业机器人等领域，为高精度定位与重载传动需求提供可靠支持 。感谢您的关注!,2025-07-11 16:27:10,688017
688017.SH,绿的谐波,20250711,你们公司生意这么好，有必要这样一起减持吗？真是太伤人心了,尊敬的投资者您好，感谢您的长期支持。公司始终专注主业发展，努力提升公司行业竞争力。股东会严格按法规执行并做好信息披露工作。未来公司将持续聚焦主业，以更好的业绩回报股东信任。感谢您的关注！,2025-07-11 16:27:10,688017
688017.SH,绿的谐波,20250603,香港做为全球金融中心之一，希望贵公司能尽快筹划去香港发行H股，吸引外部长期资金，一起助力公司成长！,尊敬的投资者您好，感谢您的建议和关注！,2025-06-03 16:27:17,688017
688017.SH,绿的谐波,20250603,贵公司高管李谦减持到哪了，完毕了吗，请董秘及时发布公告！,尊敬的投资者您好，李谦先生的减持计划的时间为2025年3月11日至2025年6月10日。公司及股东将及时履行信息披露义务。感谢您的关注！,2025-06-03 16:27:17,688017
688017.SH,绿的谐波,20250512,请问贵公司墨西哥新工厂今年是否能完成投产，谢谢,尊敬的投资者您好，相关内容请关注公司后续披露的定期报告。感谢您的关注！,2025-05-12 15:29:01,688017
688017.SH,绿的谐波,20250512,请问贵公司墨西哥新工厂今年（2025）是否能完成投产，谢谢,尊敬的投资者您好，相关内容请关注公司后续披露的定期报告。感谢您的关注！,2025-05-12 15:29:01,688017
688017.SH,绿的谐波,20250512,请问贵公司在墨西哥新建的工厂进度怎么样了，谢谢,尊敬的投资者您好，相关内容请关注公司后续披露的定期报告。感谢您的关注！,2025-05-12 15:29:01,688017
688017.SH,绿的谐波,20250512,请问美国对墨西哥也加征关税，对公司在墨西哥新建的谐波减速器特斯拉订单有什么影响吗？,尊敬的投资者您好，相关内容请关注公司后续披露的定期报告。感谢您的关注！,2025-05-12 15:29:01,688017
688017.SH,绿的谐波,20250512,请问多家公司回购股份，贵公司有这方面的打算吗？,尊敬的投资者您好，公司高度重视资本市场稳定和股东权益保护，在保证公司长期可持续发展的情况下结合多种因素综合考虑是否开展股份回购，如后续有相关计划，公司将严格按照规定进行信息披露。感谢您对公司的关注。,2025-05-12 15:29:01,688017
688017.SH,绿的谐波,20250512,各了响应上层呼吁，很多公司都在回购股份，为什么你们公司剩那么多钱不回购，反而去理财，请回复！,尊敬的投资者您好，公司高度重视资本市场稳定和股东权益保护，在保证公司长期可持续发展的情况下结合多种因素综合考虑是否开展股份回购，如后续有相关计划，公司将严格按照规定进行信息披露。感谢您对公司的关注。,2025-05-12 15:29:01,688017
688017.SH,绿的谐波,20250430,您好，请问公司的交叉滚子轴承的价值量占到谐波减速器价值量的多少？谢谢,尊敬的投资者您好，不同规格交叉滚子轴承的价值量占谐波减速器的比例不同，感谢您的关注！,2025-04-30 15:31:00,688017
688017.SH,绿的谐波,20250430,董秘您好！请问贵公司是否已经部署了DeepSeek？如果已经部署了，请问主要应用于哪些具体的业务？公司接入DeepSeek有哪些成本、收益方面的考量？如果公司计划在未来再进行部署，计划将DeepSeek应用于什么具体的业务呢？我们投资者非常期待您的回复，谢谢！,尊敬的投资者您好，截至目前，公司尚未部署DeepSeek。我们始终专注于精密传动装置等核心业务的研发、生产与销售。若未来有接入计划，可能会应用于智能生产环节，借助其强大的数据分析与处理能力，实现生产流程的智能化管理与优化，进一步提升产品质量与生产效率。感谢您的关注！,2025-04-30 15:31:00,688017
688017.SH,绿的谐波,20250430,公司生产的供应人形机器人的减速器有没有使用软磁材料,尊敬的投资者您好，目前我司生产供应的谐波减速器，在设计和制造过程中暂未涉及软磁材料的应用 。感谢您的关注！,2025-04-30 15:31:00,688017
688017.SH,绿的谐波,20250430,董秘您好，贵司目前直接或间接销往美国的产品占比有多少？美国欲对我国出口到美国的产品征收高额关税，请问这对贵司未来的销售和业绩有何影响？谢谢,尊敬的投资者您好，根据公司2024年年报，公司2024年出口收入4487.79万元，占营收11.58%，美国市场具体占比暂未单独统计。当前国际贸易环境复杂，中美贸易不确定性及关税政策，公司将借此推动市场多元化。目前已采取多项应对措施：加快海外基地建设，通过本地化生产规避贸易壁垒；加强政策研究，动态调整业务策略；运用金融工具应对汇率风险。未来公司会持续关注政策，灵活调整经营，降低外部环境带来的不利影响。感谢您的关注！,2025-04-30 16:29:25,688017
688017.SH,绿的谐波,20250319,请问你们公司早先承诺不减持，最近又冒出一个董事李谦发布减持，如果这个李谦是你们董事会的人，你们公司怎么可以出尔反尔呢？又怎么能取得董事会通过呢？,尊敬的投资者您好，公司于2025年2月18日披露了《董事集中竞价减持股份计划公告》，具体内容详见此公告，公司及股东将及时履行相关信息的披露义务。感谢您的关注！,2025-03-19 21:28:04,688017
688017.SH,绿的谐波,20250319,请问公司产品是否进入特斯拉供应链？,尊敬的投资者您好，相关内容请关注公司后续披露的定期报告。感谢您的关注！,2025-03-19 21:28:04,688017
688017.SH,绿的谐波,20250319,我是贵公司的一名持股股东，一直以来十分关注绿的谐波的发展动态，也非常期待能进一步深入了解公司的战略规划、运营情况以及未来发展方向 。近期，我拨打贵公司证券部对外公布的联系电话，然而多次拨打均无人接听。我理解证券部日常工作繁忙，可能因各种事务导致电话漏接，但鉴于股东与公司顺畅沟通对双方的重要性，我希望能得到一个合理的解释。另外我在贵司官网也无法获取投资者联系邮箱，希望董秘拨冗提供。,尊敬的投资者您好，给您带来的不便我们深表歉意，我司的投资者联系邮箱为：info@leaderdrive.com。感谢您的关注！,2025-03-19 21:28:04,688017
688017.SH,绿的谐波,20250310,请问公司有没有在旗下产品中使用了球墨铸铁材料，来生产减速器？若有，请具体说明下在哪个环节使用了球墨铸铁？,尊敬的投资者您好，公司现在还未使用球墨铸铁材料生产谐波减速器，感谢您的关注!,2025-03-11 15:32:54,688017
688017.SH,绿的谐波,20241216,董秘您好，有自媒体（机器人大讲堂）报道，贵司正在与相关技术团队研发正向/反向行星滚柱丝杠。请问贵司是否有此安排？该项目何时能投入批量生产。谢谢,尊敬的投资者您好，公司专注于精密传动领域，涉足光、机、电、液等技术在精密传动领域的相关应用。公司在精密旋转传动中重点布局了谐波减速器相关技术和产品；在精密直线传动领域公司积极布局了电静液伺服阀和反向行星滚柱丝杠等产品，适用于大负载、高抗冲击性、高频响的应用场景。感谢您的关注!,2025-01-15 17:07:49,688017
688017.SH,绿的谐波,20241216,如果墨西哥被征税25%，公司针对北美客户人形机器人墨西哥项目是否会调整建设地点?谢谢！,尊敬的投资者您好，全球化布局是公司未来发展的重要战略目标，公司已在北美、东南亚和欧洲相继实现落地，其中包括市场、研发以及生产等多项职能。公司将会从产品开发沟通的便捷性，大规模生产质量的稳定性以及经济性等需求因素综合考虑，为海外客户提供优质的研发资源和供应链保障。关于公司海外的项目投资进展可关注公司后期披露的相关公告。感谢您的关注！,2025-01-15 17:07:49,688017
688017.SH,绿的谐波,20241216,请问公司如何看待RV减速器未来市场空间，能否具体介绍下新型减速器未来市场机会，公司是否有相关技术储备及布局,尊敬的投资者您好，公司专注于精密传动领域，涉足光、机、电、液等技术在精密传动领域的相关应用。公司在精密旋转传动中重点研发并提升谐波减速器的精度、刚性、效率和轻量化等相关性能，并且实现了超小规格谐波的研制和批量生产，适用于狭小紧凑空间的应用场景；在精密直线传动领域公司积极布局了电液伺服技术和行星滚柱丝杠技术等，适用于大负载、高抗冲击性、高频响的应用场景。感谢您的关注!,2025-01-15 17:07:49,688017
688017.SH,绿的谐波,20241216,请问董秘，根据公开信息，各大公司如字节、比亚迪均在布局机器人领域，公司作为机器人核心零部件供应商，是否有给上述公司供货？除上述外，有哪些机器人公司也是我们的客户？,尊敬的投资者您好，根据公开资料显示，已有多家国内外企业发布了包括人形机器人在内的智能机器人样机。谐波减速器是包含人形机器人在内的智能机器人的核心零部件之一，公司做为谐波减速器行业的领先企业具备了在该领域从产品定制化开发到批量生产交付的能力，并且与国内外人形机器人客户保持着良好的合作关系。感谢您的关注！,2025-01-15 17:07:49,688017
688017.SH,绿的谐波,20240830,你好，请问现在的股东总人数是多少？ ,尊敬的投资者您好，感谢您对公司的关注。根据信息披露的相关规则，为保证所有投资者平等获悉公司信息，公司会在定期报告中披露相应时点的股东人数信息，届时敬请关注！,2025-01-15 17:07:41,688017
688017.SH,绿的谐波,20240830,请问公司打算哪天出增发价 ,尊敬的投资者您好，有关定增的相关进度可以关注公司后续发布的相关公告，感谢您的关注！,2025-01-15 17:07:41,688017
688017.SH,绿的谐波,20240830,股价持续下跌，贵司是否有提出什么措施增加投资者信心？贵司提出的提质增效重回报给人的感觉太宏观了？是否有具体的目标（比如利润增长率，销售额增长率等），不然那不就是一纸空文吗？,"尊敬的投资者您好！公司实控人积极响应提质增效重回报的行动方案，基于对公司未来发展的信心以及对公司长期投资价值的认可，同时为了进一步增强投资者信心，维护公司及全体股东的利益，促进公司持续、稳定、健康发展，公司实控人拟自 2024 年 7 月 19 日起 3 个月内合计增持金额不低于人民币 500 万元且不超过人民币 1,000 万元。可参见公司于上海证券交易所网站披露的《关于实际控制人增持公司股份计划暨落实“提质增效重回报”行动方案的公告》（公告编号：2024-021）。感谢您的关注！",2025-01-15 17:07:41,688017
688017.SH,绿的谐波,20240830,贵司谐波器有没有跟下游的非工业机械人公司进行相关业务上的合作 ,尊敬的投资者您好，公司产品精密谐波减速器有在非工业机器人领域的应用，相关信息内容可参见公司披露的定期报告。感谢您的关注！,2025-01-15 17:07:41,688017
688017.SH,绿的谐波,20240816,贵司和三花智控设立的合资公司是否开始建设？,尊敬的投资者您好！公司与三花智控合作的项目请以上市公司公告为准，感谢您的关注！,2025-01-15 17:07:39,688017
688017.SH,绿的谐波,20240816,董秘您好，贵司与三花智控在墨西哥的合作项目进展如何？谢谢,尊敬的投资者您好！公司与三花智控合作的项目请以上市公司公告为准，感谢您的关注！,2025-01-15 17:07:39,688017
688017.SH,绿的谐波,20240816,你好，请问贵司在手订单情况如何？如若定增落地，是否有较大产能过剩风险,尊敬的投资者您好，相关内容请关注公司后续披露的定期报告。感谢您的关注！,2025-01-15 17:07:39,688017
688017.SH,绿的谐波,20240816,董秘您好，贵司股票在二级市场表现持续向下，请问贵司产品谐波减速器对标国外竞品公司哈默纳科是否具备竞争优势？ 国内市占率24年vs 23年变化趋势？公司新一代减速器目前研发进展及技术/市场优势如何？ ,尊敬的投资者您好！公司的产品在减速器关键性能指标上已基本达到国际先进水平，为满足智能机器人对产品高扭矩密度、高刚性与高动态响应等全新应用需求，公司针对谐波减速器微型化、轻量化、高扭矩、高负载、长寿命等性能进行了进一步的迭代提升。公司开发出系列化超长寿命、超轻超小型谐波减速器，精度保持寿命位居国际领先水平，并具有大承载、高效率、抗冲击能力强等特性，公司谐波减速器产品已全系列覆盖智能机器人旋转模组的相关需求。感谢您的关注！,2025-01-15 17:07:39,688017
688017.SH,绿的谐波,20240705,你好，贵司股价近一个月断崖式下跌，请问管理层是否有回购方案或股东增持计划，来增强我们中小投资者的信心呢？,尊敬的投资者您好，公司董事会及管理层将持续关注市场政策和动态，认真分析研究包括增持、回购在内的各项政策，结合公司实际情况综合考虑采取相关措施，如有相应计划，公司将严格按照相关规定履行审议决策程序和信息披露义务。感谢您的关注！,2025-01-15 17:07:34,688017
688017.SH,绿的谐波,20240705,你好，贵司于1月提交给证监会的定增材料，至今仍未被受理，该定增方案是否有撤销风险？假设撤回定增，贵司是否还有其他措施来保障新产线的推进？,尊敬的投资者您好，公司定增已获得中国证券监督管理委员会同意注册批复，定增的相关进度可以关注公司后续发布的相关公告，感谢您的关注！,2025-01-15 17:07:34,688017
688017.SH,绿的谐波,20240625,这次半年报公司是不是营收和净利润下滑的特别厉害？！ 公司会不会近期ST或者直接退市呢？,尊敬的投资者您好，公司目前生产经营状况稳定，公司半年报相关信息请关注公司后续发布的2024年半年度报告，公司不存在《上海证券交易所股票上市规则》规定的其他风险警示情形。感谢您对公司的关注！,2025-01-15 17:07:32,688017
688017.SH,绿的谐波,20240625,董秘你好，剔除大盘指数波动因素，贵司股价屡创近两年来新低，请问如有隐瞒末披露事项，中小投资者是否可以发起索赔诉讼？,尊敬的投资者您好，公司不存在应披露而未披露的相关信息，公司也将严格按照法律法规及相关规则要求及时履行信息披露义务。感谢您对公司的关注！,2025-01-15 17:07:32,688017
688017.SH,绿的谐波,20240625,公司有可能st?或者退市吗？ 怎么感觉一季度业绩下滑呢？,尊敬的投资者您好，公司目前生产经营状况稳定，公司不存在《上海证券交易所股票上市规则》规定的其他风险警示情形。感谢您对公司的关注！,2025-01-15 17:07:32,688017
688017.SH,绿的谐波,20240625,董秘您好，贵司股价最近连连重挫，与贵司近来业绩不佳是否有关联？作为国内谐波减速器的龙头企业，业绩不佳是否与国内有越来越多的企业参与到竞争中来有关联？贵司专利是否即将到期？贵司在国内谐波减速器的市场地位是否有下滑？谢谢,"尊敬的投资者您好，公司为满足智能机器人对产品高扭矩密度、高刚性与高动态响应等全新应用需求，公司持续探索行业前沿技术领域,持续迭代谐波减速器产品并研发新一代机电、电液一体化产品,不断丰富、优化产品结构, 并且相关技术均已申请知识产权专利保护，从而提升产品竞争力,提升服务能力,进一步强化及稳定了公司的市场地位。感谢您的关注！",2025-01-15 17:07:32,688017
688017.SH,绿的谐波,20240625,董秘你好，自贵司一季度营收利润双下滑以来，5月未相应财务情况是否好转？若末好转，请问原因是什么？谢谢,尊敬的投资者您好，目前公司生产经营情况正常有序，将努力以良好的业绩回馈广大投资者。相关财务内容请关注公司后续披露的定期报告。感谢您的关注！,2025-01-15 17:07:32,688017
688017.SH,绿的谐波,20240625,董秘你好，贵司目前做为国产替代龙头位置是否受到同质公司同类产品严重冲击，二季度市场份额是否大幅下降，谢谢,尊敬的投资者您好，公司持续加强品牌建设与推广，并积极推进国际化发展战略，公司通过在各主要国家和地区设立营销网点，增加公司销售服务覆盖的深度与广度，提升公司客户服务能力，增强销售团队与客户间关于产品质量信息的协调和沟通。公司先后在海外建立全球总部和研发服务中心，旨在以点带面更好的融入国际市场，抢占国际市场份额，在竞争中保持领先地位。感谢您的关注！,2025-01-15 17:07:32,688017
688017.SH,绿的谐波,20240625,董秘你好，贵司市值6月初仍在200左右，目前己大幅缩水45亿左右，请问贵司对市值管理是否出台增持等措施？若无增持等相应巿值管理措施，是否对自身发展信心不足？谢谢,尊敬的投资者您好，公司董事会及管理层将持续关注市场政策和动态，认真分析研究包括增持、回购在内的各项政策，结合公司实际情况综合考虑采取相关措施，如有相应计划，公司将严格按照相关规定履行审议决策程序和信息披露义务。感谢您的关注！,2025-01-15 17:07:32,688017
688017.SH,绿的谐波,20240621,董秘你好，贵司股价已连续五日大幅下挫，请问一是贵司近期以来转融通业务是否存在做空行为？二是贵司是否会被剔除科创板做市商行列？三是贵司针对市值管理是否出台回购等办法？谢谢。,尊敬的投资者您好，公司股东没有通过转融通出借股票的情况，目前公司生产经营情况正常有序，公司会严格按照证监会和交易所的要求及时履行信息披露义务。感谢您对公司的关注！,2025-01-15 17:07:32,688017
688017.SH,绿的谐波,20240620,据统计，6月以来转融通出借366800股，公司股东是否有通过转融通出借股票的情况，是否在为定增压低股价,尊敬的投资者您好，公司股东没有通过转融通出借股票的情况，感谢您的关注！,2025-01-15 17:07:32,688017
688017.SH,绿的谐波,20240619,公司股价大幅下跌创新低，请问公司有什么利空没有公告，是否与定增有关,尊敬的投资者您好！目前公司生产经营情况正常有序，将努力以良好的业绩回馈广大投资者。公司严格按照证监会和交易所的要求及时履行信息披露义务。感谢您对公司的关注！,2025-01-15 17:07:31,688017
688017.SH,绿的谐波,20240619,贵司参股的国泰智达建成许久了，计划何时投产使用？,尊敬的投资者您好，相关内容请关注公司后续披露的定期报告。感谢您的关注！,2025-01-15 17:07:31,688017
